ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3648362","-48,4269795",22:30:00
2019,JANEIRO,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,25885","-48,4647843",19:17:00
2019,OUTUBRO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4710024","-48,49686",22:30:00
2019,MARCO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3390582","-48,4593846",04:00:00
2019,SETEMBRO,PARQUE GUAJARA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3283104","-48,4533243",12:00:00
2019,SETEMBRO,CRUZEIRO,ICOARACI,RESIDENCIA PARTICULAR,"-1,2996259","-48,4887387",17:45:00
2019,JULHO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4693695","-48,4863504",20:00:00
2019,MAIO,CANUDOS,BELEM,VIA PUBLICA,"-1,4506575","-48,4611906",01:00:00
2019,JULHO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,3788457","-48,4365851",11:40:00
2019,SETEMBRO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4667046","-48,4675318",10:00:00
2019,AGOSTO,AGUAS NEGRAS,ICOARACI,RESIDENCIA PARTICULAR,"-1,399329","-48,4764593",16:30:00
2019,JULHO,UMARIZAL,BELEM,HOSPITAL,"-1,449323","-48,4805721",19:30:00
2019,ABRIL,MARCO,BELEM,VIA PUBLICA,"-1,4316152","-48,4552853",18:00:00
2019,AGOSTO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4608216","-48,4844829",05:00:00
2019,MAIO,NAZARE,BELEM,ESTABELECIMENTO DE ENSINO,"-1,449323","-48,4805721",17:30:00
2019,JULHO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,3950533","-48,447774",03:00:00
2019,FEVEREIRO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,350619","-48,4446627",20:00:00
2019,NOVEMBRO,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3785112","-48,4452235",18:00:00
2019,AGOSTO,CABANAGEM,BELEM,RESIDENCIA PARTICULAR,"-1,3642971","-48,4353299",14:00:00
2019,JULHO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4172926","-48,4832501",17:20:00
2019,MARCO,FAROL,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1414422","-48,4622881",03:00:00
2019,NOVEMBRO,UMARIZAL,BELEM,VIA PUBLICA,"-1,4362609","-48,491696",16:15:00
2019,MAIO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3541126","-48,4661873",01:00:00
2019,ABRIL,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4512501","-48,4466771",00:30:00
2019,AGOSTO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4004482","-48,490084",18:00:00
2019,ABRIL,SOUZA,BELEM,VIA PUBLICA,"-1,4274526","-48,4524073",16:30:00
2019,ABRIL,PARQUE GUAJARA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3224756","-48,4525247",16:30:00
2019,FEVEREIRO,CARANANDUBA,MOSQUEIRO,VIA PUBLICA,"-1,0942248","-48,4099249",16:00:00
2019,MARCO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,2871908","-48,4591414",14:00:00
2019,DEZEMBRO,PARQUE GUAJARA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3165105","-48,4615263",16:15:00
2020,JULHO,NAZARE,BELEM,RESIDENCIA PARTICULAR,,,23:39:00
2020,SETEMBRO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4011209","-48,4506889",09:00:00
2020,DEZEMBRO,BENGUI,BELEM,RESIDENCIA PARTICULAR,"-1,3748785","-48,4610363",12:00:00
2020,MARCO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,-1.4005144,-48.4882121,07:10:00
2020,DEZEMBRO,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,2997407","-48,44716",04:30:00
2020,ABRIL,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4053772","-48,4473586",05:10:00
2020,JUNHO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,4316808","-48,4858174",05:00:00
2020,MARCO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3497896","-48,4469234",20:59:00
2020,DEZEMBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,351327062","-48,473556519",10:00:00
2020,JANEIRO,CAMPINA,BELEM,RESIDENCIA PARTICULAR,"-1,4498308","-48,5005344",10:00:00
2020,SETEMBRO,BARREIRO,BELEM,RESIDENCIA PARTICULAR,"-1,4165661","-48,4879912",10:00:00
2020,ABRIL,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,,,17:30:00
